Date, Projects
14Dec, Data Back up, Organizing my laptop contents, etc.
15Dec, Planned - GIT Repos personal following, local repos to be built, Thing Model KT to be reviewed. Performed - Later on.
17Dec, Planned - SVM, CodeReview
21Dec, Planned - SVM, Done - SVM Test not already successful so postoning my version update.
22Dec, Done - Performance Repo download - needed JDK11; Spark Job; Single tenant; multiple tenants; all spaces - staging specifically, Planned - SVM Version update and Performance KT.
